DateTime,Qheating_building_W,Tair_zoneNorth_K,Tair_zoneCore_K,Tair_zoneSouth_K,heatsys1.schedule1.Tset1,heatsys1.schedule1.Tset2,heatsys1.schedule1.Tset3
184800,16000,291.34894,291.0038,291.20163,291.15,291.15,291.15
185400,25000,291.05386,291.2822,290.929,291.15,291.15,291.15
186000,0,291.31787,291.09976,291.1682,291.15,291.15,291.15
186600,25000,291.02124,291.39334,291.41068,291.15,291.15,291.15
187200,0,291.24173,291.19562,291.09525,291.15,291.15,291.15
187800,41000,290.95276,291.0216,291.34732,291.15,291.15,291.15
188400,25000,291.18185,291.2938,291.038,291.15,291.15,291.15
189000,0,291.4116,291.10452,291.24606,291.15,291.15,291.15
189600,25000,291.08533,291.3943,290.94775,291.15,291.15,291.15
190200,0,291.32672,291.19073,291.17093,291.15,291.15,291.15
190800,41000,291.01276,291.01257,291.3973,291.15,291.15,291.15
191400,0,291.2201,291.2815,291.0683,291.15,291.15,291.15
192000,25000,290.92096,291.0901,291.30667,291.15,291.15,291.15
192600,25000,291.13742,291.37555,290.988,291.15,291.15,291.15
193200,0,291.35938,291.17004,291.1898,291.15,291.15,291.15
193800,41000,291.0276,290.9901,291.40155,291.15,291.15,291.15
194400,0,291.21906,291.25693,291.059,291.15,291.15,291.15
195000,25000,290.90884,291.0641,291.28693,291.15,291.15,291.15
195600,25000,291.114,291.34982,290.96033,291.15,291.15,291.15
196200,0,291.32846,291.14325,291.15594,291.15,291.15,291.15
196800,25000,290.99057,291.41516,291.36224,291.15,291.15,291.15
197400,25000,291.1764,291.1978,291.0163,291.15,291.15,291.15
198000,16000,291.37527,291.0076,291.19302,291.15,291.15,291.15
198600,50000,291.615,291.2643,291.46613,294.15,291.15,294.15
199200,50000,292.26712,291.06262,292.1489,294.15,291.15,294.15
199800,50000,292.773,291.34015,292.67917,294.15,291.15,294.15
200400,50000,293.16904,291.13046,293.09375,294.15,291.15,294.15
201000,50000,293.48846,291.39725,293.4274,294.15,291.15,294.15
201600,50000,293.74078,291.1795,293.69006,294.15,291.15,294.15
202200,66000,293.94983,290.9893,293.90698,294.15,291.15,294.15
202800,50000,294.12827,291.24335,294.0921,294.15,291.15,294.15
203400,16000,294.2792,291.04504,294.2503,294.15,291.15,294.15
204000,50000,293.97083,291.29236,293.95096,294.15,291.15,294.15
204600,50000,294.1957,291.0839,294.18912,294.15,291.15,294.15
205200,50000,293.87827,291.35474,293.88864,294.15,291.15,294.15
