Time;Central heat injection;Total network heat loss
562500;42607.92;3486.004
563400;42992.938;3491.3281
564300;43280.605;3484.0898
565200;43610.004;3482.4883
566100;44393.203;3490.2266
567000;45438.992;3491.129
567900;46498.473;3485.3398
568800;47574.254;3479.918
569700;48852.61;3477.5508
570600;50134.754;3469.7383
571500;51481.25;3463.6328
572400;52818.402;3455.5078
573300;53712.33;3440.8672
574200;54529.203;3435.2734
575100;55306.742;3430.3594
576000;56049.812;3425.8516
576900;56790.96;3422.0312
577800;57499.504;3417.754
578700;58184.37;3413.8516
579600;146277.45;4164.078
580500;142800.05;2989.5781
581400;141788.03;3033.5156
582300;141111.48;3037.1719
583200;140688.95;3040.2656
584100;140308.53;3041.8125
585000;140040.38;3043.5312
585900;139848.77;3044.7031
586800;139695.69;3045.4844
587700;139569.3;3046.7656
588600;138846.05;3051.7344
589500;138115.38;3056.8594
590400;137429.02;3061.7656
591300;136745.11;3066.2812
592200;136120.78;3070.3438
593100;135518.19;3073.3438
594000;134978.84;3076.25
594900;134537.9;3078.9688
595800;134167.5;3081.875
596700;133760.89;3082.1719
597600;103567.086;2814.789
598500;109039.48;3205.0078
599400;110110.71;3140.1172
600300;110743.17;3136.3281
601200;110743.17;3136.3281
602100;110743.17;3136.3281
603000;110743.17;3136.3281
603900;110743.17;3136.3281
604800;110743.17;3136.3281
604800;110743.17;3136.3281
