DateTime,Qheating_building_W,Tair_zoneNorth_K,Tair_zoneCore_K,Tair_zoneSouth_K
332400,44769.195,294.13992,291.1475,294.14
333000,45273.33,294.1398,291.14746,294.1399
333600,45437.184,294.13974,291.14746,294.13986
334200,45602.414,294.1397,291.14746,294.13983
334800,45769.703,294.13968,291.14743,294.1398
335400,45939.74,294.13965,291.14743,294.13974
336000,46113.203,294.13962,291.1474,294.1397
336600,46290.78,294.13956,291.1474,294.13968
337200,46470.242,294.13953,291.14737,294.13965
337800,46646.61,294.1395,291.14737,294.1396
338400,46820.58,294.13947,291.14737,294.13956
339000,46992.473,294.13943,291.14734,294.13953
339600,47162.62,294.13937,291.14734,294.1395
340200,47331.344,294.13934,291.1473,294.13947
340800,47498.973,294.1393,291.1473,294.1394
341400,47653.195,294.13928,291.14728,294.13937
342000,47823.84,294.13925,291.14728,294.13934
342600,48016.758,294.1392,291.14728,294.1393
343200,48227.57,294.13916,291.14725,294.13925
343800,48451.89,294.1391,291.14725,294.1392
344400,48685.344,294.13907,291.14725,294.13916
345000,48923.555,294.139,291.14722,294.1391
345600,49162.133,294.13895,291.14722,294.13904
346200,49385.406,294.1389,291.1472,294.13898
346800,49600.37,294.13885,291.1472,294.13895
347400,49808.258,294.1388,291.1472,294.1389
348000,50010.02,294.13876,291.14716,294.13885
348600,50200.785,294.1387,291.14716,294.1388
349200,50380.91,294.13867,291.14716,294.13876
349800,50552.79,294.13864,291.14713,294.13873
350400,50726.152,294.1386,291.14713,294.1387
351000,50897.086,294.13858,291.1471,294.13864
351600,51058.56,294.13852,291.1471,294.1386
352200,51203.56,294.1385,291.14706,294.13858
352800,51325.05,294.1385,291.14706,294.13858
353400,51416.02,294.13846,291.14706,294.13855
354000,51472.844,294.13846,291.14703,294.13855
354600,51513.574,294.13843,291.14703,294.13852
355200,51536.62,294.13843,291.14703,294.13852
355800,51560.984,294.13843,291.14703,294.13852
356400,51605.67,294.13843,291.147,294.13852
357000,51689.68,294.13843,291.147,294.1385
357600,51832.02,294.1384,291.147,294.13846
358200,52048.32,294.13834,291.14697,294.13843
358800,52288.992,294.13828,291.14697,294.13837
359400,52517.996,294.1382,291.14697,294.1383
