Time [s],T office north [K],T office south [K],T corridor [K],heating power office north [W],heating power office south [W],heating power corridor [W],cooling power office north [W],cooling power office south [W],cooling power corridor [W]
172200,290.29166,290.3074,289.6826,0,0,0,0,0,0
172800,290.2567,290.2724,289.66068,0,0,0,0,0,0
173400,290.2225,290.2381,289.63895,0,0,0,0,0,0
174000,290.18857,290.2041,289.62827,0,0,845.36115,0,0,0
174600,290.15485,290.1703,289.7315,0,0,3513.7139,0,0,0
175200,290.12125,290.13666,289.93216,0,0,5053.522,0,0,0
175800,290.0878,290.10312,290.1516,0,0,5255.679,0,0,0
176400,290.05444,290.06967,290.32138,0,0,4359.3667,0,0,0
177000,290.02115,290.03632,290.40207,0,0,2875.7935,0,0,0
177600,289.98795,290.00302,290.38672,0,0,1390.7548,0,0,0
178200,289.95477,289.9698,290.30048,0,0,373.0121,0,0,0
178800,289.92163,289.93655,290.18512,0,0,43.166126,0,0,0
179400,289.8885,289.90335,290.0819,0,0,364.18976,0,0,0
180000,289.85538,289.87015,290.02054,0,0,1106.1969,0,0,0
180600,289.82227,289.83698,290.01065,0,0,1957.7379,0,0,0
181200,289.78912,289.80377,290.04358,0,0,2645.976,0,0,0
181800,289.75595,289.77048,290.09995,0,0,3008.685,0,0,0
182400,289.72272,289.73718,290.158,0,0,3014.337,0,0,0
183000,289.68954,289.70395,290.2002,0,0,2744.0027,0,0,0
183600,289.65656,289.67087,290.21686,0,0,2345.251,0,0,0
184200,289.62384,289.6381,290.20786,0,0,1976.9475,0,0,0
184800,289.59143,289.60562,290.18155,0,0,1756.2008,0,0,0
185400,289.56662,289.5734,290.15012,1438.6823,0,1725.6735,0,0,0
186000,289.68573,289.61328,290.124,5927.6445,4113.7983,1860.2134,0,0,0
186600,289.9129,289.80603,290.11002,8443.466,7571.4575,2093.089,0,0,0
187200,290.14816,290.04825,290.1099,8783.606,8852.178,2340.2368,0,0,0
187800,290.31598,290.25235,290.12082,7467.8447,8179.99,2530.6936,0,0,0
188400,290.38336,290.3651,290.13712,5387.5864,6331.7256,2625.4844,0,0,0
189000,290.35593,290.37686,290.15262,3429.2466,4233.796,2623.4678,0,0,0
189600,290.26767,290.31067,290.16278,2209.1023,2644.3003,2553.5042,0,0,0
190200,290.16367,290.20877,290.16565,1935.1261,1953.6722,2458.8638,0,0,0
190800,290.08197,290.11398,290.1619,2452.1155,2154.6443,2380.9534,0,0,0
191400,290.0426,290.05493,290.1541,3394.0735,2954.69,2347.287,0,0,0
192000,290.04623,290.04044,290.14548,4361.825,3951.1653,2366.1667,0,0,0
192600,290.07962,290.0626,290.1388,5060.515,4792.551,2428.2654,0,0,0
193200,290.124,290.10416,290.1357,5362.1396,5274.465,2512.9646,0,0,0
193800,290.16232,290.14673,290.13644,5298.9966,5362.325,2596.8674,0,0,0
194400,290.18427,290.1766,290.14005,5009.2085,5154.7056,2661.276,0,0,0
195000,290.18716,290.18777,290.14496,4665.655,4816.596,2696.5593,0,0,0
195600,290.1753,290.18176,290.14935,4412.637,4511.055,2703.8909,0,0,0
196200,290.15656,290.1652,290.15198,4325.3716,4346.0107,2693.3276,0,0,0
196800,290.13885,290.1463,290.15234,4403.8105,4353.3823,2678.543,0,0,0
197400,290.12756,290.13177,290.15085,4594.404,4500.488,2671.292,0,0,0
198000,290.12463,290.12506,290.14838,4823.824,4720.6987,2678.2937,0,0,0
198600,290.72202,290.71954,290.25482,37210.285,37126.293,2130.7297,0,0,0
199200,291.88315,291.8807,290.3067,48000,48000,1211.3567,0,0,0
199800,292.88232,292.88193,290.2988,48000,48000,283.34467,0,0,0
200400,293.59036,293.59137,290.25378,45177.68,45170.664,0,0,0,0
201000,293.9275,293.92908,290.2115,38394.688,38373.645,0,0,0,0
201600,293.93008,293.93152,290.174,31157.316,31122.607,0,0,0,0
202200,293.72183,293.72275,290.14078,25587.215,25543.379,0,0,0,0
202800,293.44202,293.44284,290.1113,22530.137,22479.396,0,0,0,0
203400,293.19888,293.2014,290.0851,21789.531,21720.475,0,0,0,0
204000,293.0484,293.05505,290.0635,22566.352,22445.906,117.37862,0,0,0
204600,293.0002,293.0139,290.06348,23919.31,23688.826,651.8067,0,0,0
205200,293.03076,293.05255,290.09238,25082.541,24666.518,1040.2411,0,0,0
205800,293.10156,293.12515,290.1324,25639.957,25008.355,1186.8282,0,0,0
206400,293.17642,293.1953,290.16934,25505.855,24692.932,1102.5636,0,0,0
207000,293.23096,293.24197,290.1928,24837.434,23912.357,860.65247,0,0,0
207600,293.2557,293.25833,290.19858,23900.307,22939.066,566.05756,0,0,0
208200,293.25345,293.24847,290.1888,22948.943,22022.225,316.8784,0,0,0
208800,293.23413,293.22397,290.16992,22154.453,21313.314,175.88493,0,0,0
209400,293.20923,293.19687,290.14972,21583.775,20853.033,158.3825,0,0,0
210000,293.18777,293.1758,290.1345,21216.646,20595.87,240.17035,0,0,0
210600,293.17447,293.16443,290.12796,20983.572,20456.307,370.41937,0,0,0
211200,293.1699,293.16217,290.13013,20803.963,20349.408,495.83905,0,0,0
211800,293.17178,293.166,290.13864,20614.578,20214.473,574.75507,0,0,0
212400,293.17676,293.172,290.1496,20382.645,20026.049,588.5331,0,0,0
213000,293.18167,293.1774,290.15918,20104.41,19786.828,542.0042,0,0,0
213600,293.18427,293.18033,290.16464,19797.916,19516.244,457.34232,0,0,0
214200,293.1837,293.18027,290.16513,19491.303,19241.455,364.53262,0,0,0
214800,293.18054,293.1777,290.16144,19208.957,18985.898,289.4791,0,0,0
215400,293.1761,293.1738,290.15567,18966.264,18764.684,248.54114,0,0,0
